customer_id,customer_name,email,registration_date,customer_type
C0001,Mary Martinez,xnash@example.com,2024-06-03,REGULAR
C0002,Tanya Wang MD,leon72@example.net,2025-12-12,REGULAR
C0003,Connor Neal,mooretammy@example.net,2026-02-11,REGULAR
C0004,William Richards,joseph09@example.org,2026-05-26,VIP
C0005,Corey Gregory,briannahenderson@example.net,2024-12-14,VIP
C0006,Melinda Tucker,patriciamontgomery@example.com,2025-09-04,PREMIUM
C0007,Justin Atkinson,jamiefleming@example.net,2023-07-14,PREMIUM
C0008,Bruce Cooper,doylevirginia@example.org,2026-07-10,VIP
C0009,Julia Stout,colinshaw@example.com,2026-05-13,VIP
C0010,Chad Johnson,christopher52@example.com,2023-11-28,PREMIUM
C0011,Joshua Dunlap,lori70@example.com,2024-02-17,VIP
C0012,Michael Reed,dfrost@example.com,2026-01-11,VIP
C0013,Lori Adams,jacksonroger@example.com,2025-08-14,PREMIUM
C0014,Austin Fowler Jr.,eatonthomas@example.net,2025-08-22,REGULAR
C0015,Brittany Foster,travissaunders@example.org,2025-09-23,VIP
C0016,Eric Dunlap,ibooker@example.org,2023-11-20,VIP
C0017,Scott Williams,austin75@example.org,2025-05-14,VIP
C0018,Katie Ford,lewisjeffrey@example.com,2025-09-17,PREMIUM
C0019,Michael Bernard,gomezkathleen@example.com,2023-11-25,VIP
C0020,Angela Nguyen,alexishoward@example.net,2024-08-31,REGULAR
C0021,Michael Wood,jessica12@example.com,2024-01-19,PREMIUM
C0022,Sabrina Castillo,wolfetamara@example.net,2026-04-13,PREMIUM
C0023,Rachael Levy,mrobinson@example.net,2026-03-23,VIP
C0024,Blake Watts,jenningsbrittany@example.net,2026-03-27,VIP
C0025,Debra Contreras,stephaniemartinez@example.net,2025-06-21,PREMIUM
C0026,John Gonzalez,kellywanda@example.net,2025-02-01,REGULAR
C0027,Erica Everett,bautistaalison@example.com,2026-05-19,REGULAR
C0028,Krista Whitaker,beasleykevin@example.org,2023-07-19,PREMIUM
C0029,Misty Brown,zmitchell@example.org,2024-12-14,PREMIUM
C0030,Peter Ingram,haleyherrera@example.net,2024-10-05,REGULAR
C0031,Christy Johnson,donnawatson@example.com,2024-12-23,PREMIUM
C0032,Robert Miller,virginia32@example.net,2025-10-22,VIP
C0033,Jessica Wilkerson,nobleernest@example.org,2023-07-24,PREMIUM
C0034,Jordan Ramirez,ewhite@example.net,2023-12-07,PREMIUM
C0035,Andrea Carroll,jameslong@example.com,2023-09-20,PREMIUM
C0036,Brianna Shelton,hernandezamanda@example.com,2025-10-17,REGULAR
C0037,David Allen,mary06@example.net,2026-04-20,VIP
C0038,Samuel Mills,zunigadonald@example.net,2025-09-14,VIP
C0039,Chad Wright,christopherwright@example.org,2025-03-14,REGULAR
C0040,Brett Mora,foleyamber@example.org,2026-01-12,PREMIUM
C0041,Samantha Hall,travis05@example.org,2026-05-21,VIP
C0042,Rebecca Gordon,tyler20@example.net,2026-06-25,PREMIUM
C0043,William Friedman,stephanie87@example.org,2025-01-13,PREMIUM
C0044,Patrick Robinson,drakealisha@example.com,2024-01-16,PREMIUM
C0045,Garrett Smith,nancymorris@example.org,2024-09-02,PREMIUM
C0046,Angela King,jacqueline47@example.com,2024-02-16,PREMIUM
C0047,Kayla Perez,josephmcclain@example.org,2024-07-31,VIP
C0048,Joseph Hudson,idelacruz@example.com,2024-01-29,PREMIUM
C0049,Hunter Kerr,bethanysmith@example.com,2023-10-14,VIP
C0050,Shannon Sherman,adam16@example.com,2026-04-19,REGULAR
C0051,Cheryl Mccoy,allenthomas@example.net,2025-09-16,PREMIUM
C0052,Sharon Mitchell,parkerjeremy@example.com,2024-12-23,REGULAR
C0053,Dennis Calderon,kvaldez@example.net,2025-06-26,REGULAR
C0054,Mary Gibson,kpowell@example.net,2024-11-07,REGULAR
C0055,Kathryn Johnson,christine30@example.org,2026-06-29,VIP
C0056,Debra Bennett,evanward@example.org,2026-04-18,REGULAR
C0057,Thomas Alvarez,gloverleslie@example.com,2023-09-21,REGULAR
C0058,Joshua Stone,shelby03@example.org,2023-07-22,PREMIUM
C0059,Stacie Smith,kochjoshua@example.org,2025-11-11,REGULAR
C0060,Isabella Bird,dustin52@example.org,2025-05-10,VIP
