user_id,transaction_date,city,region,store_id,product_category,sale_amount,price,age,subscription,email,username,raw_timestamp,status
1014,2024-06-12,New York,North,4,Clothing,148.14,371.63,52,Premium,user1@example.com,,2024-06-12 00:00:00,
1064,2024-02-29,Phoenix,West,9,Clothing,718.86,212.66,46,Basic,user2@example.com,,2024-02-29 00:00:00,Pending
1035,2024-03-28,Los Angeles,East,6,Electronics,101.82,,40,Basic,user3@example.com,user3,2024-03-28 00:00:00,Pending
1070,2024-01-21,Chicago,North,10,Clothing,707.53,,32,Basic,user4@example.com,user4,2024-01-21 00:00:00,Pending
1058,2024-03-12,Chicago,East,6,Groceries,217.41,468.64,59,Premium,user5@example.com,user5,2024-03-12 00:00:00,Active
1048,2024-04-28,Chicago,East,6,Electronics,236.76,,38,Basic,user6@example.com,user6,2024-04-28 00:00:00,Pending
1083,2024-02-24,Houston,South,8,Clothing,272.23,282.88,34,Basic,user7@example.com,user7,2024-02-24 00:00:00,Active
1063,2024-05-10,New York,West,2,Clothing,631.17,213.97,22,Basic,user8@example.com,user8,2024-05-10 00:00:00,Active
1092,2024-06-23,New York,North,6,Electronics,300.57,6.61,34,Premium,user9@example.com,user9,2024-06-23 00:00:00,Active
1047,2024-02-09,Los Angeles,West,10,Groceries,493.72,184.68,37,Premium,user10@example.com,user10,2024-02-09 00:00:00,Active
1008,2024-05-04,Phoenix,East,3,Furniture,947.38,266.2,56,Basic,user11@example.com,user11,2024-05-04 00:00:00,Active
1051,2024-03-20,Chicago,South,9,Furniture,129.79,172.35,55,Premium,user12@example.com,,2024-03-20 00:00:00,Active
1008,2024-02-28,New York,North,2,Clothing,285.69,271.92,54,Basic,user13@example.com,user13,2024-02-28 00:00:00,Active
1084,2024-01-25,Houston,North,7,Furniture,472.35,338.32,59,Premium,user14@example.com,user14,2024-01-25 00:00:00,Active
1024,2024-03-04,Los Angeles,South,3,Furniture,191.65,437.87,22,Basic,user15@example.com,user15,2024-03-04 00:00:00,
1069,2024-06-15,New York,West,4,Clothing,412.35,433.0,21,Premium,user16@example.com,user16,2024-06-15 00:00:00,Pending
1054,2024-03-14,Phoenix,South,3,Clothing,303.74,291.69,52,Premium,user17@example.com,user17,2024-03-14 00:00:00,Active
1065,2024-01-15,New York,East,2,Electronics,678.46,64.34,54,Premium,user18@example.com,,2024-01-15 00:00:00,
1074,2024-06-17,Phoenix,North,5,Clothing,673.03,136.48,26,Basic,user19@example.com,user19,2024-06-17 00:00:00,Active
1079,2024-04-27,Phoenix,West,2,Clothing,510.83,177.76,22,Premium,user20@example.com,user20,2024-04-27 00:00:00,Pending
1083,2024-06-05,Phoenix,West,9,Groceries,932.44,439.67,34,Premium,user21@example.com,user21,2024-06-05 00:00:00,Pending
1026,2024-06-03,Chicago,East,5,Furniture,258.61,30.15,58,Basic,user22@example.com,,2024-06-03 00:00:00,Active
1033,2024-06-12,Los Angeles,South,9,Furniture,565.3,472.8,27,Premium,user23@example.com,user23,2024-06-12 00:00:00,Active
1039,2024-01-11,Chicago,West,6,Clothing,685.25,180.07,53,Basic,user24@example.com,user24,2024-01-11 00:00:00,Active
1022,2024-02-11,Houston,West,3,Groceries,784.56,336.6,33,Basic,user25@example.com,user25,2024-02-11 00:00:00,Active
1028,2024-04-30,Los Angeles,South,6,Groceries,822.33,115.35,60,Premium,user26@example.com,user26,2024-04-30 00:00:00,
1044,2024-03-12,Phoenix,South,9,Groceries,939.84,485.35,29,Basic,,user27,2024-03-12 00:00:00,Pending
1077,2024-04-21,Phoenix,West,7,Clothing,262.18,5.84,52,Premium,user28@example.com,user28,2024-04-21 00:00:00,Pending
1040,2024-06-08,New York,North,9,Groceries,670.22,350.12,53,Premium,user29@example.com,user29,2024-06-08 00:00:00,Active
1072,2024-06-06,Chicago,South,9,Electronics,310.84,393.95,56,Basic,user30@example.com,user30,2024-06-06 00:00:00,Pending
1084,2024-02-13,New York,North,9,Groceries,102.45,121.26,37,Premium,user31@example.com,user31,2024-02-13 00:00:00,
